batch,accuracy,f1,auc
217,0.92,0.9230769230769231,0.9740259740259741
218,1.0,1.0,1.0
219,0.96,0.9473684210526315,0.96875
220,0.92,0.9,1.0
221,0.96,0.9411764705882353,0.9791666666666666
222,1.0,1.0,1.0
223,1.0,1.0,1.0
224,0.92,0.9090909090909091,0.9675324675324676
225,0.96,0.9655172413793104,0.9512987012987013
226,0.92,0.875,0.9669117647058824
227,1.0,1.0,1.0
228,0.88,0.88,0.9326923076923077
229,1.0,1.0,1.0
230,0.92,0.9,0.91
231,0.92,0.9333333333333333,0.9333333333333333
232,0.96,0.96,1.0
233,1.0,1.0,1.0
234,0.88,0.8571428571428571,0.9375
235,0.96,0.9714285714285714,1.0
236,0.96,0.9090909090909091,1.0
237,1.0,1.0,1.0
238,0.96,0.9230769230769231,0.9841269841269842
239,1.0,1.0,1.0
240,1.0,1.0,1.0
241,0.96,0.9333333333333333,0.9722222222222222
242,1.0,1.0,1.0
243,1.0,1.0,1.0
244,1.0,1.0,1.0
245,0.96,0.9523809523809523,0.9935064935064936
246,1.0,1.0,1.0
247,1.0,1.0,1.0
248,1.0,1.0,1.0
249,0.96,0.9473684210526315,1.0
250,1.0,1.0,1.0
251,1.0,1.0,1.0
252,0.92,0.9230769230769231,0.9615384615384616
253,0.92,0.9285714285714286,0.98
254,1.0,1.0,1.0
255,1.0,1.0,1.0
256,1.0,1.0,1.0
257,0.96,0.9655172413793104,0.9512987012987013
258,1.0,1.0,1.0
259,0.96,0.9473684210526315,0.9466666666666667
260,0.92,0.875,0.9227941176470589
261,1.0,1.0,1.0
262,1.0,1.0,1.0
263,0.96,0.9333333333333333,1.0
264,1.0,1.0,1.0
265,1.0,1.0,1.0
266,0.92,0.8888888888888888,0.9548611111111112
267,1.0,1.0,1.0
268,1.0,1.0,1.0
269,0.96,0.96,1.0
270,0.96,0.9629629629629629,0.9675324675324675
271,1.0,1.0,1.0
272,0.88,0.8888888888888888,0.9038461538461539
273,0.96,0.967741935483871,1.0
274,1.0,1.0,1.0
275,0.88,0.88,0.9166666666666666
276,1.0,1.0,1.0
277,1.0,1.0,1.0
278,0.96,0.9411764705882353,1.0
279,1.0,1.0,1.0
280,0.96,0.9230769230769231,0.9736842105263158
281,1.0,1.0,1.0
282,0.92,0.9285714285714286,0.98
283,1.0,1.0,1.0
284,0.96,0.9230769230769231,0.9761904761904763
285,1.0,1.0,1.0
286,0.96,0.9411764705882353,0.9861111111111112
287,1.0,1.0,1.0
288,0.96,0.9411764705882353,0.9669117647058824
289,0.96,0.96,1.0
290,1.0,1.0,1.0
291,1.0,1.0,1.0
292,1.0,1.0,1.0
293,1.0,1.0,1.0
294,1.0,1.0,1.0
295,0.92,0.9230769230769231,0.9423076923076923
296,0.96,0.9629629629629629,0.961038961038961
297,0.88,0.8571428571428571,0.987012987012987
298,0.96,0.9565217391304348,0.9935897435897436
299,1.0,1.0,1.0
300,1.0,1.0,1.0
301,0.92,0.9,0.9375
302,1.0,1.0,1.0
303,1.0,1.0,1.0
304,0.92,0.9090909090909091,0.967948717948718
305,0.92,0.875,1.0
306,0.84,0.8181818181818182,0.9615384615384615
307,0.96,0.9411764705882353,0.9705882352941176
308,0.96,0.9655172413793104,0.98
309,1.0,1.0,1.0
310,0.88,0.88,0.9679487179487181
311,1.0,1.0,1.0
312,0.96,0.96,0.9743589743589745
313,1.0,1.0,1.0
314,0.96,0.9411764705882353,0.9705882352941176
315,1.0,1.0,1.0
316,0.96,0.9090909090909091,0.9736842105263157
317,0.92,0.8888888888888888,0.9533333333333334
318,0.92,0.9375,0.986111111111111
319,0.92,0.8888888888888888,0.9305555555555556
320,0.96,0.9473684210526315,1.0
321,0.92,0.8,0.98
322,1.0,1.0,1.0
323,0.96,0.9629629629629629,1.0
324,0.96,0.9333333333333333,0.9779411764705882
325,1.0,1.0,1.0
326,0.96,0.9655172413793104,0.9866666666666667
327,0.96,0.9523809523809523,0.9666666666666667
328,0.96,0.9523809523809523,0.9935064935064936
329,1.0,1.0,1.0
330,0.96,0.9565217391304348,1.0
331,1.0,1.0,1.0
332,0.92,0.9285714285714286,0.987012987012987
333,1.0,1.0,1.0
334,0.92,0.875,0.9669117647058824
335,0.92,0.9230769230769231,0.9615384615384616
336,1.0,1.0,1.0
337,0.88,0.8571428571428571,0.9805194805194806
338,1.0,1.0,1.0
339,1.0,1.0,1.0
340,0.92,0.9166666666666666,0.9220779220779222
341,0.96,0.96,1.0
342,1.0,1.0,1.0
343,0.92,0.8888888888888888,0.9479166666666666
